Name,Category,Location,Google Maps Link,Vibe Description,Hidden Search Tags,
Padelx,Sport,JLT,http://maps.google.com/?q=Padelx+Floating+Club,Floating padel court on a lake. Trendy sport.,#sport #padel #active #water #unique #trendy #group,
Danube Sports World,Sport,Habtoor City,http://maps.google.com/?q=Danube+Sports+World,Massive indoor sports dome. Football and padel.,#sport #indoor #active #football #group #ac #huge,
Hamdan Sports Complex,Pool,Emirates Rd,http://maps.google.com/?q=Hamdan+Sports+Complex,Olympic swimming pools. Echoey and blue.,#swim #sport #indoor #huge #pool #active #exercise,
Kite Beach Gym,Sport,Kite Beach,http://maps.google.com/?q=Muscle+Beach+Dubai,Outdoor weights on the sand. Muscle beach vibe.,#gym #outdoor #beach #active #muscles #sun #free,
Skate Park,Sport,Kite Beach,http://maps.google.com/?q=XDubai+Skatepark,Concrete bowls and skaters. Gritty and cool.,#skate #active #cool #youth #outdoor #sport #watch,
Al Qudra Cycle Track,Sport,Al Qudra,http://maps.google.com/?q=Al+Qudra+Cycle+Track,80km bike path in dunes. Endurance and sunrise.,#cycling #desert #active #long #sunrise #sport #road,
Nad Al Sheba Track,Sport,Meydan,http://maps.google.com/?q=Nad+Al+Sheba+Cycle+Park,Night cycling with city view. Safe and lit.,#cycling #night #view #active #safe #track #running,
Meydan Racecourse,Venue,Meydan,http://maps.google.com/?q=Meydan+Racecourse,Horse racing and grandstand. Huge and green.,#horses #race #event #huge #green #outdoor #rich,
Dubai Harbour,Walking,Marina,http://maps.google.com/?q=Dubai+Harbour,Cruise terminal and superyachts. Clean and white.,#yacht #walk #view #sea #luxury #modern #clean,
Marsa Al Arab,Sight,Jumeirah,http://maps.google.com/?q=Marsa+Al+Arab,Superyacht shaped hotel. Iconic architecture.,#hotel #architecture #luxury #view #future #icon #photo,
Jumeirah Mosque,Culture,Jumeirah,http://maps.google.com/?q=Jumeirah+Mosque,White stone minarets. Open to non-muslims.,#culture #history #mosque #learning #beautiful #peaceful #tourist,
Gurunanak Darbar,Culture,Jebel Ali,http://maps.google.com/?q=Gurunanak+Darbar+Sikh+Temple,Sikh temple with free community kitchen. Welcoming.,#culture #temple #peaceful #community #food #welcoming #quiet,
Hindu Temple,Culture,Jebel Ali,http://maps.google.com/?q=Hindu+Temple+Dubai,New ornate architecture. Incense and bells.,#culture #temple #architecture #peaceful #spiritual #new #art,
St Marys Church,Culture,Oud Metha,http://maps.google.com/?q=St.+Mary's+Catholic+Church,Busy community church. Diverse and history.,#culture #church #community #busy #history #peaceful #old,
Iranian Mosque,Culture,Satwa,http://maps.google.com/?q=Iranian+Mosque+Satwa,Intricate blue tiles. Persian architecture.,#culture #mosque #art #blue #architecture #beautiful #hidden,
Al Farooq Mosque,Culture,Al Safa,http://maps.google.com/?q=Al+Farooq+Omar+Bin+Al+Khattab+Mosque,Blue Mosque replica. Grand and tall.,#culture #mosque #architecture #grand #beautiful #peaceful #huge,
Design District Basketball,Sport,d3,http://maps.google.com/?q=d3+Basketball+Court,Colorful court designed by artists. Urban cool.,#sport #art #cool #basketball #urban #design #outdoor,
The Block,Park,d3,http://maps.google.com/?q=The+Block+d3,Urban park with skate ramps. Concrete and sand.,#park #skate #urban #cool #river #design #hangout,
Dubai Creek Golf,Sport,Deira,http://maps.google.com/?q=Dubai+Creek+Golf+&+Yacht+Club,Green grass by the water. Iconic clubhouse.,#golf #green #luxury #water #sport #quiet #classy,
Emirates Golf Club,Sport,Emirates Hills,http://maps.google.com/?q=Emirates+Golf+Club,Majlis course with skyline background. Historic.,#golf #green #luxury #view #sport #history #classy,
Topgolf,Activity,Emirates Golf Club,http://maps.google.com/?q=Topgolf+Dubai,Neon targets and drinks. Social golf party.,#sport #fun #group #party #night #food #view,
Phileas Fogg,Pub,Emirates Hills,http://maps.google.com/?q=Phileas+Fogg's,Massive outdoor pub garden. Golf views and sports.,#pub #garden #social #food #alcohol #view #casual,
Reform Social,Pub,The Lakes,http://maps.google.com/?q=Reform+Social+&+Grill,British gastropub with grass. Family friendly.,#pub #british #family #garden #food #casual #green,
Irish Village,Pub,Garhoud,http://maps.google.com/?q=The+Irish+Village,Wooden deck and ducks. Old Dubai institution.,#pub #history #outdoor #garden #social #beer #casual,
Fibber Magee's,Pub,Trade Centre,http://maps.google.com/?q=Fibber+Magee's,Tiny hidden irish pub. Live folk music.,#pub #hidden #music #cozy #authentic #small #fun,
Lock Stock & Barrel,Bar,Barsha Heights,http://maps.google.com/?q=Lock,+Stock+&+Barrel,Live rock bands and industrial warehouse. Loud.,#party #music #rock #loud #bar #night #busy
Soho Garden,Club,Meydan,http://maps.google.com/?q=Soho+Garden+Meydan,Superclub with techno DJs. Late night party.,#club #party #music #dance #late #night #fashion,
Bla Bla,Beach Club,JBR,http://maps.google.com/?q=Bla+Bla+Dubai,Pool parties and many bars. Loud adult fun.,#party #pool #alcohol #loud #adults #beach #social,
Five Palm Pool,Pool,Palm Jumeirah,http://maps.google.com/?q=Five+Palm+Jumeirah,Influencer central. Party and showing off.,#party #pool #loud #young #hotel #music #social,
Barasti,Beach Bar,Marina,http://maps.google.com/?q=Barasti+Beach,Free entry beach bar. Sports on screens.,#beach #party #free #casual #sports #loud #fun,
Zero Gravity,Beach Club,Marina,http://maps.google.com/?q=Zero+Gravity+Dubai,Glass pool and skydivers landing. Day to night.,#pool #party #beach #music #view #fun #loud,
Azure Beach,Beach Club,JBR,http://maps.google.com/?q=Azure+Beach,Pool by the sea. Chill house music.,#pool #beach #relax #music #hotel #luxury #cool,
Twiggy by La Cantine,Beach Club,Creek,http://maps.google.com/?q=Twiggy+by+La+Cantine,Sand lagoon infinity pool. Very chic Riviera.,#luxury #pool #chic #sand #fashion #food #view,
Sal,Beach Club,Burj Al Arab,http://maps.google.com/?q=Sal+Burj+Al+Arab,Infinity pool at the Burj. Ultimate luxury.,#luxury #pool #icon #expensive #exclusive #view #fashion,
Summersalt,Beach Club,Jumeirah Al Naseem,http://maps.google.com/?q=Summersalt+Beach+Club,Quiet luxury beach club. Burj Al Arab view.,#luxury #beach #quiet #view #relax #exclusive #food,
Koko Bay,Restaurant,West Beach,http://maps.google.com/?q=Koko+Bay,Bali vibes on the palm. Wicker chairs and sunset.,#bali #beach #sunset #food #boho #relax #date,
Feb-30,Beach Club,West Beach,http://maps.google.com/?q=February+30+Dubai,Beirut beach vibes. Red umbrellas and music.,#beach #party #music #food #social #fun #lively,
Jones the Grocer,Cafe,Emirates Golf Club,http://maps.google.com/?q=Jones+the+Grocer+Emirates+Golf,Cheese room and golf views. Family breakfast.,#food #family #cheese #view #breakfast #casual #grocery,
Lime Tree Cafe,Cafe,Jumeirah,http://maps.google.com/?q=The+Lime+Tree+Cafe,Carrot cake and homey vibes. Dubai classic.,#cake #cafe #homey #casual #food #breakfast #classic,
Arabian Tea House,Cafe,Al Fahidi,http://maps.google.com/?q=Arabian+Tea+House,Turquoise benches and white drapes. Emirati hospitality.,#culture #tea #breakfast #beautiful #courtyard #local #photo,
Al Ustad Special Kabab,Restaurant,Bur Dubai,http://maps.google.com/?q=Al+Ustad+Special+Kabab,Walls covered in photos. Legendary kebabs.,#food #history #meat #cheap #local #famous #casual,
Bu Qtair,Restaurant,Umm Suqeim,http://maps.google.com/?q=Bu+Qtair+Fish+Restaurant,Plastic stools by the harbor. Fried fish.,#fish #local #cheap #outdoor #casual #authentic #famous,
Mama'esh,Restaurant,Al Manara,http://maps.google.com/?q=Mama'esh+Al+Manara,Palestinian street food. Stone oven and free tea.,#food #authentic #cheap #cozy #bread #family #local,
3 Fils,Restaurant,Jumeirah Fishing Harbour,http://maps.google.com/?q=3+Fils,No reservations asian food. Harbor view.,#food #award #view #casual #sushi #harbor #cool,
Orfali Bros,Restaurant,Wasl 51,http://maps.google.com/?q=Orfali+Bros+Bistro,Syrian modern fusion. Open kitchen theater.,#food #award #modern #chef #unique #tasty #cool,
Moon Slice,Restaurant,Dar Wasl,http://maps.google.com/?q=Moon+Slice+Pizza,Artisan pizza in a small space. Hipster vibes.,#pizza #food #small #cool #hipster #tasty #casual,
Pickl,Restaurant,JLT,http://maps.google.com/?q=Pickl+JLT,Fried chicken and smash burgers. Loud and tasty.,#burger #fast #food #casual #loud #tasty #cool,
Salt,Restaurant,Kite Beach,http://maps.google.com/?q=Salt+Kite+Beach,Silver airstream food truck. Sliders on the sand.,#burger #beach #outdoor #popular #casual #sand #night,
Home Bakery,Cafe,Galleria Mall,http://maps.google.com/?q=Home+Bakery,Chewy cookies and milk cake. Local favorite.,#cake #sweet #dessert #local #coffee #treat #popular,
Gossip Cafe,Cafe,Boxpark,http://maps.google.com/?q=Gossip+Cafe+&+Desserts,Emirati fusion desserts. Fancy and modern.,#sweet #local #modern #fancy #cafe #dessert #fashion,
Vibe Cafe,Cafe,Al Wasl,http://maps.google.com/?q=Vibe+Cafe+DIFC,Healthy food that looks like a party. Pink and green.,#healthy #fun #colorful #photo #lunch #modern #vibey,
Comptoir 102,Cafe,Jumeirah,http://maps.google.com/?q=Comptoir+102,Organic cafe and concept store. Boho chic.,#organic #healthy #shopping #boho #quiet #green #unique,
Bounty Beets,Cafe,Mina Seyahi,http://maps.google.com/?q=Bounty+Beets,Pink walls and dog friendly garden. Vegan options.,#vegan #pink #garden #dogs #healthy #breakfast #cute,
Common Grounds,Cafe,MOE,http://maps.google.com/?q=Common+Grounds+MOE,Mall break with great coffee. Busy and bright.,#coffee #mall #breakfast #busy #modern #food #family,
The Grey,Cafe,Al Wasl,http://maps.google.com/?q=The+Grey,Dark grey minimalist design. Very serious cool.,#design #minimalist #cool #coffee #dark #modern #fashion,
Orijins,Cafe,DIFC,http://maps.google.com/?q=Orijins+Coffee,Plaster walls and organic shapes. Architectural coffee.,#design #coffee #architecture #modern #cool #quiet #fancy,
